


 clock   elapsed:              other lines
 clock   self+sourced   self:  sourced script
000.002: before starting main loop
000.003: --- NVIM STARTED ---
000.004: UIEnter autocommands
000.007: parsing arguments
000.009: --- NVIM STARTING ---
000.016: editing files in windows
000.018: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-matchup/after/plugin/matchit.vim
000.021: inits 3
000.024: sourcing /Users/e1205822/.config/nvim/config/macos_highlighting.vim
000.026: sourcing /Users/e1205822/.local/share/nvim/runtime/plugin/health.vim
000.027: sourcing /Users/e1205822/.local/share/nvim/runtime/plugin/matchparen.vim
000.027: window checked
000.032: sourcing /Users/e1205822/.local/share/nvim/plugged/vista.vim/plugin/vista.vim
000.038: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-fugitive/ftdetect/fugitive.vim
000.039: sourcing /Users/e1205822/.local/share/nvim/runtime/plugin/tutor.vim
000.045: sourcing /Users/e1205822/.local/share/nvim/runtime/plugin/spellfile.vim
000.047: initialized screen early for UI
000.049: sourcing /Users/e1205822/.local/share/nvim/plugged/kotlin-vim/ftdetect/kotlin.vim
000.050: sourcing /Users/e1205822/.local/share/nvim/runtime/indent.vim
000.053: sourcing /Users/e1205822/.local/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
000.054: sourcing /Users/e1205822/.config/nvim/config/macos_remappings.vim
000.059: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-syntax-extra/plugin/vim-syntax-extra.vim
000.062: sourcing /Users/e1205822/.local/share/nvim/runtime/ftplugin.vim
000.068: sourcing /Users/e1205822/.local/share/nvim/plugged/limelight.vim/plugin/limelight.vim
000.071: sourcing /Users/e1205822/.local/share/nvim/plugged/At-Zed-vim/plugin/at-zed.vim
000.079: inits 2
000.079: sourcing /Users/e1205822/gitclones/vim-neovim-config/.git/virkvonce.vim
000.091: sourcing /Users/e1205822/.local/share/nvim/runtime/ftoff.vim
000.094: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-liquid/ftdetect/liquid.vim
000.095: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-visual-star-search/plugin/visual-star-search.vim
000.098: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-bbye/plugin/bbye.vim
000.105: sourcing /Users/e1205822/.local/share/nvim/plugged/bclose.vim/plugin/bclose.vim
000.120: sourcing /Users/e1205822/.local/share/nvim/plugged/hex-this-vim/plugin/hex_this.vim
000.128: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-all/plugin/all.vim
000.129: sourcing /Users/e1205822/.local/share/nvim/plugged/coc.nvim/autoload/coc/rpc.vim
000.131: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-matchup/autoload/matchup/re.vim
000.136: sourcing /Users/e1205822/.local/share/nvim/plugged/togool.vim/plugin/togool.vim
000.140: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-matchup/autoload/matchup/perf.vim
000.141: sourcing /Users/e1205822/.local/share/nvim/plugged/neco-vim/plugin/necovim.vim
000.142: loading packages
000.143: sourcing /Users/e1205822/.local/share/nvim/runtime/plugin/tohtml.vim
000.146: sourcing /Users/e1205822/.local/share/nvim/runtime/plugin/man.vim
000.161: sourcing /Users/e1205822/.local/share/nvim/runtime/syntax/syncolor.vim
000.163: sourcing /Users/e1205822/.local/share/nvim/runtime/syntax/syncolor.vim
000.163: sourcing /Users/e1205822/.local/share/nvim/runtime/syntax/syncolor.vim
000.166: sourcing /Users/e1205822/.local/share/nvim/runtime/syntax/syncolor.vim
000.169: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-startify/plugin/startify.vim
000.177: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-matchup/autoload/matchup/pos.vim
000.178: sourcing /Users/e1205822/.local/share/nvim/plugged/recover.vim/plugin/recover.vim
000.180: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-easy-align/plugin/easy_align.vim
000.180: waiting for UI
000.184: sourcing /Users/e1205822/.local/share/nvim/runtime/syntax/syncolor.vim
000.198: sourcing /Users/e1205822/.local/share/nvim/plugged/lightline.vim/plugin/lightline.vim
000.201: sourcing /Users/e1205822/.local/share/nvim/plugged/lightline.vim/autoload/lightline/tab.vim
000.215: sourcing /Users/e1205822/.local/share/nvim/plugged/far.vim/plugin/far.vim
000.215: sourcing /Users/e1205822/.local/share/nvim/runtime/plugin/matchparen.vim
000.223: sourcing /Users/e1205822/.local/share/nvim/plugged/coc.nvim/autoload/coc/client.vim
000.225: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-mundo/autoload/mundo/util.vim
000.238: sourcing /Users/e1205822/.local/share/nvim/plugged/visual-split.vim/plugin/visual-split.vim
